Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
0,3731835739,3,0,0,0,0,0,0,0,0,0,
1,3731835789,3,0,0,0,0,0,0,0,0,0,
2,3731835839,3,0,0,0,0,0,0,0,0,0,
3,3731835890,3,0,0,0,0,0,0,0,0,0,
4,3731835940,3,0,0,0,0,0,0,0,0,0,
5,3731835991,3,0,0,0,0,0,0,0,0,0,
6,3731836042,3,0,0,0,0,0,0,0,0,0,
7,3731836092,3,0,0,0,0,0,0,0,0,0,
8,3731836143,3,0,0,0,0,0,0,0,0,0,
9,3731836193,3,0,0,0,0,0,0,0,0,0,
10,3731836244,3,0,0,0,0,0,0,0,0,0,
11,3731836294,3,0,0,0,0,0,0,0,0,0,
12,3731836345,3,0,0,0,0,0,0,0,0,0,
13,3731836395,3,0,0,0,0,0,0,0,0,0,
14,3731836446,3,0,0,0,0,0,0,0,0,0,
15,3731836496,3,0,0,0,0,0,0,0,0,0,
16,3731836547,3,0,0,0,0,0,0,0,0,0,
17,3731836597,3,0,0,0,0,0,0,0,0,0,
18,3731836648,3,0,0,0,0,0,0,0,0,0,
19,3731836699,3,0,0,0,0,0,0,0,0,0,
20,3731836749,3,0,0,0,0,0,0,0,0,0,
21,3731836800,3,0,0,0,0,0,0,0,0,0,
22,3731836850,3,0,0,0,0,0,0,0,0,0,
23,3731836901,3,0,0,0,0,0,0,0,0,0,
24,3731836951,3,0,0,0,0,0,0,0,0,0,
25,3731837002,3,0,0,0,0,0,0,0,0,0,
26,3731837052,3,0,0,0,0,0,0,0,0,0,
27,3731837103,3,0,0,0,0,0,0,0,0,0,
28,3731837153,3,0,0,0,0,0,0,0,0,0,
29,3731837204,3,0,0,0,0,0,0,0,0,0,
30,3731837254,3,0,0,0,0,0,0,0,0,0,
31,3731837304,3,0,0,0,0,0,0,0,0,0,
32,3731837354,3,0,0,0,0,0,0,0,0,0,
33,3731837405,3,0,0,0,0,0,0,0,0,0,
34,3731837455,3,0,0,0,0,0,0,0,0,0,
35,3731837505,3,0,0,0,0,0,0,0,0,0,
36,3731837555,3,0,0,0,0,0,0,0,0,0,
37,3731837606,3,0,0,0,0,0,0,0,0,0,
38,3731837656,3,0,0,0,0,0,0,0,0,0,
39,3731837706,3,0,0,0,0,0,0,0,0,0,
40,3731837757,3,0,0,0,0,0,0,0,0,0,
41,3731837807,3,0,0,0,0,0,0,0,0,0,
42,3731837857,3,0,0,0,0,0,0,0,0,0,
43,3731837907,3,0,0,0,0,0,0,0,0,0,
44,3731837957,3,0,0,0,0,0,0,0,0,0,
45,3731838008,3,0,0,0,0,0,0,0,0,0,
46,3731838058,3,0,0,0,0,0,0,0,0,0,
47,3731838109,3,0,0,0,0,0,0,0,0,0,
48,3731838159,3,0,0,0,0,0,0,0,0,0,
49,3731838209,3,0,0,0,0,0,0,0,0,0,
50,3731838260,3,0,0,0,0,0,0,0,0,0,
51,3731838310,3,0,0,0,0,0,0,0,0,0,
52,3731838361,3,0,0,0,0,0,0,0,0,0,
53,3731838411,3,0,0,0,0,0,0,0,0,0,
54,3731838463,3,0,0,0,0,0,0,0,0,0,
55,3731838513,3,0,0,0,0,0,0,0,0,0,
56,3731838563,3,0,0,0,0,0,0,0,0,0,
57,3731838616,3,0,0,0,0,0,0,0,0,0,
58,3731838667,3,0,0,0,0,38,1,38,1,38,
59,3731838745,3,0,0,0,0,52,1,90,2,52,
60,3731838804,3,0,0,0,0,110,1,200,3,110,
61,3731838863,3,21,0,21,0,150,2,350,5,150,
62,3731838926,3,30,0,51,0,164,2,514,7,164,
63,3731838982,3,65,1,116,1,195,3,709,10,195,
64,3731839039,3,20,0,136,1,238,3,947,13,238,
65,3731839103,3,66,2,202,3,247,2,1194,15,247,
66,3731839159,3,56,0,258,3,247,3,1441,18,247,
67,3731839216,3,87,0,345,3,248,3,1689,21,248,
68,3731839274,3,93,0,438,3,248,6,1937,27,248,
69,3731839330,3,23,0,461,3,248,6,2185,33,248,
70,3731839386,3,97,0,558,3,248,6,2433,39,248,
71,3731839442,3,69,1,627,4,249,5,2682,44,249,
72,3731839499,3,60,0,687,4,251,7,2933,51,251,
73,3731839553,3,41,0,728,4,251,4,3184,55,251,
74,3731839609,3,91,0,819,4,251,5,3435,60,251,
75,3731839664,3,88,1,907,5,251,4,3686,64,251,
76,3731839719,3,28,0,935,5,251,4,3937,68,251,
77,3731839776,3,92,0,1027,5,251,4,4188,72,251,
78,3731839831,3,44,0,1071,5,251,4,4439,76,251,
79,3731839886,3,87,0,1158,5,250,4,4689,80,250,
80,3731839945,3,28,0,1186,5,250,9,4939,89,250,
81,3731840005,3,106,0,1292,5,250,5,5189,94,250,
82,3731840061,3,81,0,1373,5,250,5,5439,99,250,
83,3731840116,3,40,0,1413,5,250,4,5689,103,250,
84,3731840171,3,77,0,1490,5,249,4,5938,107,249,
85,3731840227,3,54,0,1544,5,249,6,6187,113,249,
86,3731840283,3,86,0,1630,5,249,4,6436,117,249,
87,3731840339,3,24,0,1654,5,249,6,6685,123,249,
88,3731840396,3,98,0,1752,5,249,4,6934,127,249,
89,3731840452,3,68,0,1820,5,249,5,7183,132,249,
90,3731840508,3,50,1,1870,6,249,5,7432,137,249,
91,3731840563,3,54,0,1924,6,249,4,7681,141,249,
92,3731840618,3,71,0,1995,6,249,5,7930,146,249,
93,3731840673,3,89,0,2084,6,249,4,8179,150,249,
94,3731840730,3,23,0,2107,6,249,5,8428,155,249,
95,3731840785,3,92,0,2199,6,248,4,8676,159,248,
96,3731840841,3,63,1,2262,7,248,5,8924,164,248,
97,3731840897,3,69,0,2331,7,248,4,9172,168,248,
98,3731840953,3,32,0,2363,7,248,5,9420,173,248,
99,3731841009,3,102,0,2465,7,244,4,9664,177,244,
100,3731841063,3,83,0,2548,7,244,4,9908,181,244,
101,3731841118,3,30,1,2578,8,244,4,10152,185,244,
102,3731841172,3,80,0,2658,8,244,4,10396,189,244,
103,3731841227,3,51,0,2709,8,244,4,10640,193,244,
104,3731841282,3,87,1,2796,9,244,5,10884,198,244,
105,3731841336,3,23,0,2819,9,244,4,11128,202,244,
106,3731841392,3,108,0,2927,9,244,5,11372,207,244,
107,3731841448,3,62,0,2989,9,244,4,11616,211,244,
108,3731841504,3,52,1,3041,10,243,4,11859,215,243,
109,3731841559,3,49,0,3090,10,243,4,12102,219,243,
110,3731841616,3,80,1,3170,11,245,6,12347,225,245,
111,3731841671,3,93,1,3263,12,245,4,12592,229,245,
112,3731841727,3,18,1,3281,13,245,4,12837,233,245,
113,3731841784,3,93,3,3374,16,245,4,13082,237,245,
114,3731841839,3,63,0,3437,16,245,5,13327,242,245,
115,3731841894,3,65,0,3502,16,245,4,13572,246,245,
116,3731841950,3,31,0,3533,16,245,5,13817,251,245,
117,3731842006,3,97,0,3630,16,245,6,14062,257,245,
118,3731842062,3,70,0,3700,16,245,5,14307,262,245,
119,3731842117,3,38,0,3738,16,245,4,14552,266,245,
120,3731842172,3,71,0,3809,16,245,4,14797,270,245,
121,3731842227,3,54,0,3863,16,246,4,15043,274,246,
122,3731842284,3,82,1,3945,17,246,7,15289,281,246,
123,3731842340,3,28,0,3973,17,246,5,15535,286,246,
124,3731842396,3,97,0,4070,17,246,6,15781,292,246,
125,3731842451,3,65,0,4135,17,246,4,16027,296,246,
126,3731842507,3,49,0,4184,17,246,6,16273,302,246,
127,3731842562,3,48,0,4232,17,246,5,16519,307,246,
128,3731842617,3,71,1,4303,18,247,4,16766,311,247,
129,3731842672,3,86,0,4389,18,247,4,17013,315,247,
130,3731842728,3,19,0,4408,18,247,4,17260,319,247,
131,3731842784,3,86,0,4494,18,247,5,17507,324,247,
132,3731842839,3,62,0,4556,18,247,5,17754,329,247,
133,3731842894,3,60,0,4616,18,247,4,18001,333,247,
134,3731842949,3,31,0,4647,18,247,5,18248,338,247,
135,3731843005,3,93,0,4740,18,247,4,18495,342,247,
136,3731843060,3,66,0,4806,18,248,4,18743,346,248,
137,3731843115,3,40,0,4846,18,248,3,18991,349,248,
138,3731843170,3,58,0,4904,18,247,5,19238,354,247,
139,3731843225,3,63,0,4967,18,246,4,19484,358,246,
140,3731843280,3,79,0,5046,18,246,4,19730,362,246,
141,3731843336,3,22,1,5068,19,246,4,19976,366,246,
142,3731843391,3,99,0,5167,19,247,5,20223,371,247,
143,3731843445,3,59,0,5226,19,246,4,20469,375,246,
144,3731843500,3,52,0,5278,19,246,4,20715,379,246,
145,3731843556,3,36,0,5314,19,246,5,20961,384,246,
146,3731843611,3,89,0,5403,19,246,4,21207,388,246,
147,3731843666,3,81,0,5484,19,246,4,21453,392,246,
148,3731843722,3,23,0,5507,19,246,4,21699,396,246,
149,3731843776,3,88,0,5595,19,247,4,21946,400,247,
150,3731843832,3,39,0,5634,19,247,5,22193,405,247,
151,3731843887,3,78,0,5712,19,247,5,22440,410,247,
152,3731843942,3,22,0,5734,19,247,4,22687,414,247,
153,3731843997,3,102,0,5836,19,246,4,22933,418,246,
154,3731844053,3,63,0,5899,19,246,6,23179,424,246,
155,3731844108,3,51,0,5950,19,247,5,23426,429,247,
156,3731844163,3,49,0,5999,19,247,4,23673,433,247,
157,3731844218,3,73,1,6072,20,247,4,23920,437,247,
158,3731844273,3,89,0,6161,20,247,4,24167,441,247,
159,3731844333,3,21,0,6182,20,247,8,24414,449,247,
160,3731844391,3,103,0,6285,20,247,3,24661,452,247,
161,3731844448,3,63,0,6348,20,247,7,24908,459,247,
162,3731844505,3,55,0,6403,20,249,4,25157,464,249,
163,3731844561,3,41,0,6444,20,249,5,25406,469,249,
164,3731844617,3,85,0,6529,20,249,5,25655,474,249,
165,3731844674,3,86,1,6615,21,248,4,25903,478,248,
166,3731844730,3,20,1,6635,22,248,5,26151,483,248,
167,3731844785,3,90,1,6725,23,248,4,26399,487,248,
168,3731844841,3,54,1,6779,24,248,5,26647,492,248,
169,3731844897,3,67,0,6846,24,248,3,26895,495,248,
170,3731844953,3,31,0,6877,24,248,4,27143,499,248,
171,3731845010,3,92,0,6969,24,248,7,27391,506,248,
172,3731845065,3,83,2,7052,26,247,5,27638,511,247,
173,3731845120,3,23,0,7075,26,247,4,27885,515,247,
174,3731845175,3,72,0,7147,26,247,4,28132,519,247,
175,3731845230,3,62,0,7209,26,247,4,28379,523,247,
176,3731845288,3,76,0,7285,26,247,4,28626,527,247,
177,3731845343,3,24,0,7309,26,247,4,28873,531,247,
178,3731845398,3,90,2,7399,28,247,5,29120,536,247,
179,3731845453,3,69,1,7468,29,247,4,29367,540,247,
180,3731845510,3,44,1,7512,30,247,5,29614,545,247,
181,3731845565,3,45,0,7557,30,247,4,29861,549,247,
182,3731845620,3,77,2,7634,32,247,5,30108,554,247,
183,3731845676,3,89,2,7723,34,247,4,30355,558,247,
184,3731845732,3,22,0,7745,34,247,6,30602,564,247,
185,3731845788,3,92,0,7837,34,247,5,30849,569,247,
186,3731845842,3,56,0,7893,34,247,4,31096,573,247,
187,3731845897,3,63,1,7956,35,247,3,31343,576,247,
188,3731845953,3,26,1,7982,36,247,5,31590,581,247,
189,3731846008,3,93,0,8075,36,248,5,31838,586,248,
190,3731846064,3,76,0,8151,36,248,5,32086,591,248,
191,3731846118,3,30,0,8181,36,249,4,32335,595,249,
192,3731846173,3,61,0,8242,36,249,5,32584,600,249,
193,3731846228,3,61,1,8303,37,249,4,32833,604,249,
194,3731846283,3,83,0,8386,37,249,4,33082,608,249,
195,3731846338,3,23,0,8409,37,249,5,33331,613,249,
196,3731846394,3,96,0,8505,37,249,4,33580,617,249,
197,3731846449,3,65,0,8570,37,249,4,33829,621,249,
198,3731846504,3,51,0,8621,37,249,4,34078,625,249,
199,3731846559,3,38,0,8659,37,249,4,34327,629,249,
200,3731846615,3,86,1,8745,38,249,4,34576,633,249,
201,3731846670,3,89,0,8834,38,249,5,34825,638,249,
202,3731846725,3,21,0,8855,38,249,4,35074,642,249,
203,3731846780,3,79,0,8934,38,249,4,35323,646,249,
204,3731846835,3,56,0,8990,38,249,4,35572,650,249,
205,3731846891,3,73,0,9063,38,249,5,35821,655,249,
206,3731846946,3,26,0,9089,38,249,4,36070,659,249,
207,3731847001,3,94,0,9183,38,249,3,36319,662,249,
208,3731847058,3,66,0,9249,38,249,4,36568,666,249,
209,3731847115,3,47,0,9296,38,248,4,36816,670,248,
210,3731847170,3,49,1,9345,39,248,4,37064,674,248,
211,3731847226,3,75,1,9420,40,248,4,37312,678,248,
212,3731847281,3,75,0,9495,40,247,5,37559,683,247,
213,3731847337,3,23,0,9518,40,247,5,37806,688,247,
214,3731847392,3,98,0,9616,40,248,5,38054,693,248,
215,3731847446,3,61,0,9677,40,248,4,38302,697,248,
216,3731847504,3,47,1,9724,41,248,5,38550,702,248,
217,3731847560,3,36,0,9760,41,248,5,38798,707,248,
218,3731847615,3,85,0,9845,41,248,5,39046,712,248,
219,3731847670,3,84,0,9929,41,248,5,39294,717,248,
220,3731847724,3,24,0,9953,41,248,4,39542,721,248,
221,3731847779,3,76,0,10029,41,248,4,39790,725,248,
