Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
0,3732452383,0,0,0,0,0,0,0,0,0,0,
1,3732452433,0,0,0,0,0,0,0,0,0,0,
2,3732452483,0,0,0,0,0,0,0,0,0,0,
3,3732452534,0,0,0,0,0,0,0,0,0,0,
4,3732452585,0,0,0,0,0,0,0,0,0,0,
5,3732452635,0,0,0,0,0,0,0,0,0,0,
6,3732452685,0,0,0,0,0,0,0,0,0,0,
7,3732452736,0,0,0,0,0,0,0,0,0,0,
8,3732452787,0,0,0,0,0,0,0,0,0,0,
9,3732452837,0,0,0,0,0,0,0,0,0,0,
10,3732452888,0,0,0,0,0,0,0,0,0,0,
11,3732452938,0,0,0,0,0,0,0,0,0,0,
12,3732452989,0,0,0,0,0,0,0,0,0,0,
13,3732453039,0,0,0,0,0,0,0,0,0,0,
14,3732453089,0,0,0,0,0,0,0,0,0,0,
15,3732453140,0,0,0,0,0,0,0,0,0,0,
16,3732453191,0,0,0,0,0,0,0,0,0,0,
17,3732453241,0,0,0,0,0,0,0,0,0,0,
18,3732453291,0,0,0,0,0,0,0,0,0,0,
19,3732453342,0,0,0,0,0,0,0,0,0,0,
20,3732453392,0,0,0,0,0,0,0,0,0,0,
21,3732453443,0,0,0,0,0,0,0,0,0,0,
22,3732453494,0,0,0,0,0,0,0,0,0,0,
23,3732453544,0,0,0,0,0,0,0,0,0,0,
24,3732453595,0,0,0,0,0,0,0,0,0,0,
25,3732453645,0,0,0,0,0,0,0,0,0,0,
26,3732453696,0,0,0,0,0,0,0,0,0,0,
27,3732453746,0,0,0,0,0,0,0,0,0,0,
28,3732453797,0,0,0,0,0,0,0,0,0,0,
29,3732453848,0,0,0,0,0,0,0,0,0,0,
30,3732453898,0,0,0,0,0,0,0,0,0,0,
31,3732453948,0,0,0,0,0,0,0,0,0,0,
32,3732453999,0,0,0,0,0,0,0,0,0,0,
33,3732454049,0,0,0,0,0,0,0,0,0,0,
34,3732454100,0,0,0,0,0,0,0,0,0,0,
35,3732454150,0,0,0,0,0,0,0,0,0,0,
