Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
0,3732177724,3,0,0,0,0,0,0,0,0,0,
1,3732177774,3,0,0,0,0,0,0,0,0,0,
2,3732177824,3,0,0,0,0,0,0,0,0,0,
3,3732177875,3,0,0,0,0,0,0,0,0,0,
4,3732177926,3,0,0,0,0,0,0,0,0,0,
5,3732177976,3,0,0,0,0,0,0,0,0,0,
6,3732178027,3,0,0,0,0,0,0,0,0,0,
7,3732178077,3,0,0,0,0,0,0,0,0,0,
8,3732178128,3,0,0,0,0,0,0,0,0,0,
9,3732178179,3,0,0,0,0,0,0,0,0,0,
10,3732178229,3,0,0,0,0,0,0,0,0,0,
11,3732178280,3,0,0,0,0,0,0,0,0,0,
12,3732178330,3,0,0,0,0,0,0,0,0,0,
13,3732178381,3,0,0,0,0,0,0,0,0,0,
14,3732178431,3,0,0,0,0,0,0,0,0,0,
15,3732178482,3,0,0,0,0,0,0,0,0,0,
16,3732178533,3,0,0,0,0,0,0,0,0,0,
17,3732178583,3,0,0,0,0,0,0,0,0,0,
18,3732178634,3,0,0,0,0,0,0,0,0,0,
19,3732178684,3,0,0,0,0,0,0,0,0,0,
20,3732178735,3,0,0,0,0,0,0,0,0,0,
21,3732178785,3,0,0,0,0,0,0,0,0,0,
22,3732178836,3,0,0,0,0,0,0,0,0,0,
23,3732178886,3,0,0,0,0,0,0,0,0,0,
24,3732178937,3,0,0,0,0,0,0,0,0,0,
25,3732178988,3,0,0,0,0,0,0,0,0,0,
26,3732179038,3,0,0,0,0,0,0,0,0,0,
27,3732179088,3,0,0,0,0,0,0,0,0,0,
28,3732179139,3,0,0,0,0,0,0,0,0,0,
29,3732179189,3,0,0,0,0,0,0,0,0,0,
30,3732179240,3,0,0,0,0,0,0,0,0,0,
31,3732179290,3,0,0,0,0,0,0,0,0,0,
32,3732179341,3,0,0,0,0,0,0,0,0,0,
33,3732179391,3,0,0,0,0,0,0,0,0,0,
34,3732179442,3,0,0,0,0,0,0,0,0,0,
35,3732179492,3,0,0,0,0,0,0,0,0,0,
36,3732179543,3,0,0,0,0,0,0,0,0,0,
37,3732179593,3,0,0,0,0,0,0,0,0,0,
38,3732179644,3,0,0,0,0,0,0,0,0,0,
39,3732179694,3,0,0,0,0,0,0,0,0,0,
40,3732179744,3,0,0,0,0,0,0,0,0,0,
41,3732179795,3,0,0,0,0,0,0,0,0,0,
42,3732179845,3,0,0,0,0,0,0,0,0,0,
43,3732179896,3,0,0,0,0,0,0,0,0,0,
44,3732179946,3,0,0,0,0,0,0,0,0,0,
45,3732179997,3,0,0,0,0,0,0,0,0,0,
46,3732180047,3,0,0,0,0,0,0,0,0,0,
47,3732180098,3,0,0,0,0,0,0,0,0,0,
48,3732180148,3,0,0,0,0,0,0,0,0,0,
49,3732180199,3,0,0,0,0,0,0,0,0,0,
50,3732180249,3,0,0,0,0,0,0,0,0,0,
51,3732180300,3,0,0,0,0,0,0,0,0,0,
52,3732180350,3,0,0,0,0,0,0,0,0,0,
53,3732180401,3,0,0,0,0,0,0,0,0,0,
54,3732180451,3,0,0,0,0,0,0,0,0,0,
55,3732180502,3,0,0,0,0,0,0,0,0,0,
56,3732180552,3,0,0,0,0,0,0,0,0,0,
57,3732180602,3,0,0,0,0,0,0,0,0,0,
58,3732180653,3,0,0,0,0,0,0,0,0,0,
59,3732180703,3,0,0,0,0,0,0,0,0,0,
60,3732180754,3,0,0,0,0,0,0,0,0,0,
61,3732180804,3,0,0,0,0,0,0,0,0,0,
62,3732180855,3,0,0,0,0,0,0,0,0,0,
63,3732180905,3,0,0,0,0,0,0,0,0,0,
64,3732180956,3,0,0,0,0,0,0,0,0,0,
65,3732181006,3,0,0,0,0,0,0,0,0,0,
66,3732181057,3,0,0,0,0,0,0,0,0,0,
67,3732181108,3,0,0,0,0,0,0,0,0,0,
68,3732181158,3,0,0,0,0,0,0,0,0,0,
69,3732181209,3,0,0,0,0,0,0,0,0,0,
70,3732181259,3,0,0,0,0,0,0,0,0,0,
71,3732181310,3,0,0,0,0,0,0,0,0,0,
72,3732181360,3,0,0,0,0,0,0,0,0,0,
73,3732181411,3,0,0,0,0,0,0,0,0,0,
74,3732181462,3,0,0,0,0,0,0,0,0,0,
75,3732181515,3,0,0,0,0,0,0,0,0,0,
76,3732181565,3,0,0,0,0,0,0,0,0,0,
77,3732181616,3,0,0,0,0,0,0,0,0,0,
78,3732181666,3,0,0,0,0,0,0,0,0,0,
79,3732181717,3,0,0,0,0,8,0,8,0,8,
80,3732181769,3,0,0,0,0,30,1,38,1,30,
81,3732181831,3,0,0,0,0,87,2,125,3,87,
82,3732181898,3,0,0,0,0,123,2,248,5,123,
83,3732182015,3,34,0,34,0,180,2,428,7,180,
84,3732182078,3,87,0,121,0,187,3,615,10,187,
